 RA_core DEC_core RA_centroid DEC_centroid FLUX Corefrac BMAJ BMIN PA SIZE CLASS
0 -0.12409036000002516 -30.16461652 -0.1240892299999814 -30.16462145 0.0014149586111458778 0.18366921 0.12 0.11900000000000001 32.937 1 2
1 0.04323374 -30.0730533 0.04321418 -30.07308444 3.400303307979258e-05 0.0 1.183 0.401 47.727 1 3
2 0.06221793 -29.99796245 0.06221547 -29.99796832 4.858747902408449e-06 0.0 0.171 0.449 171.66299999999998 1 3
3 -0.06133392999998932 -29.99922974 -0.061340990000019247 -29.99921555 2.7778553549767243e-05 0.0 0.486 0.474 46.836000000000006 1 3
4 -0.03851795999997876 -29.99903401 -0.03852764999999181 -29.99903537 2.535051620827077e-05 0.0 0.486 0.613 34.586999999999996 1 3
5 0.08091789 -30.07211612 0.0809329 -30.07215774 3.900958359258939e-05 0.0 1.023 0.324 13.415 1 3
6 0.06028588 -30.04119063 0.06028036 -30.04102884 9.908541782138992e-06 0.0 1.071 0.418 28.029 1 3
7 -0.0084303599999771 -29.94410361 -0.008422619999976177 -29.94409318 6.939134762546041e-06 0.0 0.758 0.397 0.0 1 3
8 0.02365078 -30.03731986 0.02362258 -30.03730518 5.254705974806852e-06 0.0 0.304 0.8640000000000001 13.443 1 3
9 -0.005223039999975754 -29.93944491 -0.005224150000003647 -29.93944975 1.413527443055382e-05 0.18375207 0.121 0.11800000000000001 129.181 1 2
10 0.0774825 -30.04212163 0.07749579 -30.042123 2.0005166389778338e-05 0.0 0.544 0.529 66.916 1 3
11 0.04898015 -29.97116934 0.0489061 -29.9711407 5.874569761182471e-06 0.0 0.205 1.209 20.147000000000002 1 3
12 -0.028429959999982657 -29.99427554 -0.02850597999997717 -29.99430925 3.3273178008861448e-06 0.0 0.871 0.205 73.868 1 3
13 -0.057673659999977644 -29.97355657 -0.05767859999997427 -29.97355468 2.8531956033126574e-05 0.18552716 0.11900000000000001 0.11900000000000001 71.965 1 2
14 0.03450962 -29.97293119 0.03448394 -29.97294693 4.736129461132035e-06 0.0 0.835 0.33899999999999997 164.84 1 3
15 -0.000294909999979609 -29.99219436 -0.00033332999998947344 -29.99218244 1.5293916680279397e-05 0.0 0.273 1.04 27.416 1 3
16 -0.027996379999990495 -29.96271593 -0.028007070000001022 -29.96271 9.688903969537428e-06 0.0 0.21899999999999997 0.693 39.592 1 3
17 0.03709692 -29.95307925 0.03710378 -29.95308948 2.7669171488915514e-06 0.0 0.161 0.5429999999999999 17.894000000000002 1 3
18 -0.027014969999981986 -29.95312256 -0.027021890000014537 -29.95312668 1.1316839561858367e-05 0.0 0.529 0.38799999999999996 110.76 1 3
19 -0.003690749999975651 -29.95100017 -0.003708130000006804 -29.95101562 1.1359952488189145e-05 0.0 0.391 0.9259999999999999 142.414 1 3
20 0.01465192 -29.99741434 0.01464717 -29.99741272 4.047401270956219e-06 0.0 0.547 0.159 92.242 1 3
21 0.00676569 -29.9121251 0.0067691 -29.91212666 0.00030834450955214814 0.18425649 0.131 0.13 81.108 1 2
22 -0.043524269999977605 -30.00880994 -0.04349560000002839 -30.00883049 8.222952651862915e-06 0.0 0.285 0.752 44.847 1 3
23 -0.02305461999998215 -30.01120582 -0.023027909999996155 -30.01120085 3.598232638059055e-06 0.0 0.32799999999999996 0.638 0.574 1 3
24 -0.03306499000001395 -29.92017198 -0.033202749999986736 -29.92025835 4.015378883866601e-06 0.0 0.114 0.5489999999999999 144.394 1 3
25 -0.04824658000001136 -29.91771528 -0.0482473899999718 -29.91771668 0.00011140807820435657 0.0344209 0.28600000000000003 0.264 177.29 1 2
26 0.00988729 -30.01116659 0.00986142 -30.01116949 4.5445431866069356e-06 0.0 0.297 0.488 11.849 1 3
27 -0.03986477000000832 -29.91562362 -0.03988953999999012 -29.9155743 2.3029167221193912e-05 0.0 1.013 0.187 153.55100000000002 1 3
28 -0.12033341000000064 -30.14595381 -0.12027131999997209 -30.14592679 0.0005796304093510877 0.0 1.008 0.9329999999999999 66.502 1 3
29 -0.05032832000000553 -29.9084785 -0.05032800999998699 -29.90848062 3.623527639113033e-05 0.0 0.23600000000000002 0.309 59.316 1 3
30 0.00530966 -30.01598919 0.0053125 -30.01596858 3.2105676036283347e-06 0.0 0.662 0.248 0.0 1 3
31 0.03324367 -30.031484 0.03323884 -30.03148831 1.813336010647466e-05 0.17958 0.11800000000000001 0.11800000000000001 36.461 1 2
32 0.02394509 -30.03429563 0.02397457 -30.03428204 8.266245538484547e-06 0.0 0.32899999999999996 1.069 13.392000000000001 1 3
33 0.04490416 -30.08575224 0.04495429 -30.08576145 1.528766529133012e-05 0.0 1.462 0.244 74.71600000000001 1 3
34 0.06026888 -30.03263917 0.06025087 -30.03263371 6.917491656016716e-06 0.0 0.196 0.7909999999999999 51.244 1 3
35 -0.033989840000003824 -30.00493035 -0.033967420000010407 -30.00491603 9.78020208991341e-06 0.0 1.306 0.428 40.391 1 3
36 0.02330762 -30.03345797 0.02332769 -30.03344884 5.989457009292685e-06 0.0 0.831 0.36700000000000005 149.917 1 3
37 -0.06053284000000758 -30.00107935 -0.0605465200000026 -30.00108173 7.38490679256944e-05 0.0 0.965 0.915 10.892000000000001 1 3
38 0.02934224 -30.04744357 0.02932718 -30.04743371 2.7793172282006162e-05 0.0 1.271 0.44799999999999995 152.80700000000002 1 3
39 -0.06085144000002174 -30.00118137 -0.06084980999997924 -30.00120009 0.0001447656307283326 0.0 1.129 0.997 71.476 1 3
40 -0.016654440000024806 -30.04992846 -0.016643359999989116 -30.04991381 4.292762140998167e-06 0.0 0.41600000000000004 0.237 0.0 1 3
41 -0.08320594999997866 -29.95686914 -0.08305081999998265 -29.95687305 1.7047951435439922e-05 0.0 0.519 1.379 14.192 1 3
42 0.02661802 -29.96795744 0.02661404 -29.96796298 2.7036500970563126e-06 0.0 0.24600000000000002 0.535 0.0 1 3
43 0.00041304 -30.03172316 0.00044709 -30.03172529 5.208837984624882e-06 0.0 0.22 1.143 19.160999999999998 1 3
